source,k,mae,spearman,gws
fpl,0.0,1.146216266415628,0.6417393311137535,66
fpl,0.05,1.1444927456821716,0.6427785471796975,66
fpl,0.1,1.143534195225012,0.6431868922735046,66
fpl,0.15,1.1435078788431203,0.6430837466021861,66
fpl,0.2,1.1443746598237905,0.6425552561796977,66
own,0.0,1.146216266415628,0.6417393311137535,66
own,0.05,1.1441817786730952,0.6423517739458736,66
own,0.1,1.1429964755328725,0.6426030521459554,66
own,0.15,1.1426743885269681,0.6424250203804055,66
own,0.2,1.1432251477502107,0.6419028347567187,66
