entry_id,total_points,rank
7589670,2218,2593005
7812312,1913,6393443
3186028,1905,6471489
8588402,156,11402355
7981983,1437,10140095
5090229,1738,8117362
702636,2187,3035579
6646462,2034,5116387
251671,1584,9402907
8864767,2084,4488910
999102,1827,7233316
598155,2316,1320290
3191166,2203,2801105
504703,2217,2608844
5474295,1985,5661486
7390886,1602,9274942
9914655,1765,7851170
3919924,2259,2026291
4935045,2286,1673223
8384803,2226,2472677
7672723,2217,2608251
4666800,1820,7306148
6824615,2301,1498822
9248738,1900,6514996
1395923,2219,2573174
5289474,1940,6126714
3853155,2316,1320711
8604777,2253,2098601
499155,2465,231756
1178155,2390,642372
9447960,2068,4700633
6717595,2139,3731398
1808636,2213,2656328
6484622,2074,4621804
1121163,2313,1359328
283376,1715,8339911
9143,2423,428380
3581964,2271,1866014
877828,2246,2203245
1225381,2246,2201252
4526084,2314,1345267
1462038,2266,1935032
5221232,2343,1046917
5579861,2258,2036512
254167,1823,7277908
6879513,2413,485470
7800397,1891,6609509
8167540,1663,8802847
2980945,2235,2353009
3160584,2296,1559808
8537346,1587,9382177
3199154,2172,3258157
6438287,2285,1684665
1954680,2181,3130450
3571294,2336,1112823
7901,2491,148726
329349,2332,1154414
3535131,2007,5421200
3142497,2170,3284033
6614831,2050,4920538
706452,2227,2469510
2455490,2121,3989505
3577631,2279,1760384
5518957,1840,7110045
4971505,2278,1775327
6478857,1965,5865055
1231424,2476,193180
1246229,2214,2653432
1511916,1859,6919239
3501964,1860,6914797
260200,2449,298939
6185344,1858,6927179
7603571,2012,5372801
8115551,2175,3211385
2277305,1895,6570675
3067341,2051,4915670
2585962,2471,211310
4185892,2078,4576299
3184327,2067,4711490
2658782,2134,3810833
3298230,2107,4188165
6513082,1587,9378267
8095279,2118,4034544
1316975,2488,157665
7070879,1708,8404770
795267,2528,71535
1829510,2350,976516
649220,1736,8131291
3999809,2295,1570281
7060110,2422,433065
10007045,1468,10019511
8237605,1950,6024043
4923029,1803,7474337
9384610,1763,7870069
1243865,2407,522968
3563485,2225,2492147
3422198,2304,1454853
278079,2205,2771725
4516325,1836,7148414
4178602,2149,3598258
1014277,2158,3468954
781788,2365,845605
2957048,2318,1298087
4730536,2530,68414
6187192,1194,10706094
2207522,1825,7254125
6075788,2462,243925
8756683,1791,7594494
2354636,1905,6473247
588554,2250,2139521
300215,2377,741424
7965703,2027,5191132
5997386,2413,489222
5231215,970,10951031
562739,1400,10267244
356670,1369,10358312
1255501,2162,3397068
5350330,2396,600616
1215209,2083,4510039
1262702,1553,9597428
7601602,1783,7676987
9161960,1597,9309934
6170256,1791,7588650
745998,2453,281608
2173396,2181,3133072
1424836,2112,4108282
7940295,2332,1149251
507841,2313,1362419
243816,2485,166757
6414493,1924,6281134
1212139,2190,2991992
1520829,2081,4535880
1939117,2246,2199338
4315155,2251,2124509
5538996,2436,358082
6516881,2305,1449954
7679868,2231,2407373
7390742,2102,4256247
7761514,2394,610805
9080699,1728,8217247
1405633,1620,9151554
8702294,1870,6812648
1471903,2192,2964900
373976,1921,6312400
1893895,1981,5705892
10309654,1763,7869591
8158715,1970,5822894
6173200,1754,7962496
5050490,2279,1764870
3398635,2412,494355
5746604,2182,3111407
7414397,2188,3025871
5485489,2316,1320711
6790699,2377,738792
3330375,2158,3464915
7229224,2210,2711214
3683899,1880,6717183
5309769,2313,1357232
3521413,2224,2498556
2284660,2119,4018697
2257421,1755,7948787
5884527,2350,972462
4643867,1936,6163332
7560644,2252,2118049
7907970,2319,1290072
4616467,2034,5114323
3591673,2155,3506512
6418093,2296,1549160
8723739,1829,7213114
5291059,2152,3548600
7591311,2196,2904626
5374518,2158,3468725
1252910,1695,8525037
528244,1714,8345257
4666142,2159,3447737
4715578,1765,7851170
5184669,802,11089017
9463004,1964,5883331
320680,2178,3166891
2279708,2152,3543792
3186304,2135,3793179
414842,2327,1209893
2363483,2015,5335962
1934495,1614,9193962
8982381,1700,8473678
1308093,2439,342829
3322734,2442,330635
4295676,2404,542637
2997856,2328,1197693
180635,1025,10900375
3799312,2087,4450105
4569358,2160,3428959
2670805,2303,1471262
3756802,1898,6535887
1463136,2437,355662
6509094,2098,4302590
7558186,2130,3867889
7609075,1969,5833473
3303044,2329,1186985
112854,2382,704050
6321702,2250,2149710
5756223,2046,4972980
7779725,2326,1210255
5477213,2375,754711
1660352,2059,4819110
10764536,662,11185238
2071719,2091,4393740
3578523,2039,5057942
4064984,2136,3777860
6546849,1751,7989755
5198548,1729,8205986
4393671,2256,2062230
262531,1794,7567754
5846978,1931,6217236
623020,2328,1198973
5738716,1722,8269458
476647,2242,2252976
3662375,2315,1338369
7196324,2316,1319754
588953,1793,7575372
2900719,2068,4703384
8944303,1782,7684478
2357203,1830,7209763
7894721,2149,3588189
7384714,1690,8571563
1443235,1847,7039147
3714714,2173,3245203
7372280,2147,3622009
8835946,2292,1596185
9420930,2186,3058789
10718480,1963,5889886
2757341,2247,2182821
8770839,2036,5092820
5229418,2172,3262170
6395760,2126,3913584
3493681,1748,8022634
9138752,1885,6662636
4579550,1848,7028674
8349142,2366,830381
3371671,2520,85024
6896838,1820,7301211
82809,2023,5246641
6325518,1399,10267833
737408,2164,3372663
6720684,2089,4419643
9126751,2078,4571341
1105623,2229,2433632
7699650,2296,1551399
4516658,1998,5526119
4131851,1962,5901350
7938333,2228,2452347
8271782,2032,5141446
2130163,2297,1542498
5698899,1982,5696429
7275903,2117,4047792
5321979,318,11360200
7038701,2253,2108444
10366556,1403,10257861
493491,2259,2022355
2172003,1720,8292639
382285,2315,1332638
597686,2437,352991
3256569,2193,2952674
2609345,2278,1777031
4766089,2481,177717
10397954,2107,4184192
1759687,2180,3144876
8383180,1818,7322593
9768311,747,11127971
2059963,2058,4825824
7327886,2022,5249746
390071,2367,825729
6303808,2152,3548600
8880981,1671,8733530
2679800,1958,5944476
8885533,1983,5678341
3626754,2244,2226799
10262810,1488,9935857
2289515,1737,8130037
5831691,2063,4767853
5299483,1965,5871070
10118801,1399,10267833
5284629,2352,953822
3266276,2364,853278
3659855,2135,3793179
1625071,2242,2257922
2247010,1971,5811083
4015585,2022,5256009
2223679,2212,2672964
1478818,2511,101498
4353646,2213,2667512
1627657,2385,680116
7294688,2258,2037132
7073788,1999,5512508
9114672,2173,3246441
2113985,2405,536817
6757507,2225,2487371
297942,1650,8912759
3371115,1991,5598235
9561337,2011,5382783
1936263,2121,3992337
8483919,771,11111114
5762922,2169,3308432
8435340,1322,10473614
3171017,2268,1906920
1183669,1162,10749986
8087853,2379,723104
1781293,2093,4372547
407766,2155,3510702
628070,2147,3623132
8637319,2216,2615825
8074487,1774,7767045
3180476,2014,5344080
1928491,2273,1842634
3421110,2180,3144249
4749537,2320,1281944
1597970,2256,2059068
2255702,2295,1566995
7752261,2373,778172
1302008,1429,10169286
1622591,2333,1138870
6557952,2209,2717880
7154534,1776,7743079
8645084,2176,3205846
5948701,2162,3405310
3524644,2188,3030876
10081930,1413,10225222
685814,2096,4337670
3041193,1414,10223136
7616034,2326,1211511
10148073,1993,5576334
1590508,1685,8612148
8599344,1703,8447597
258666,2267,1918559
5720604,1670,8747084
4689497,2277,1783187
1950755,2103,4236095
2684975,2152,3556409
6805454,2223,2515647
2234978,2420,444659
5534984,2353,947458
