entry_id,total_points,rank
286498,2226,1850883
5146309,1844,6687948
7109302,2101,3516605
6007583,2226,1854796
3221178,2173,2546225
236156,2275,1289035
415521,2018,4576398
1439051,2039,4311531
328491,2348,656597
8600571,1916,5802388
965605,2284,1195783
3449845,2304,997611
2884518,1802,7191209
6086649,1874,6316178
1438414,1723,8058727
8104808,2142,2973727
7506992,2132,3107537
2744498,2085,3728723
3053944,1721,8079568
3281756,2055,4111237
9769338,2231,1794854
1381221,2408,329333
1654304,2156,2783649
653191,1846,6659669
4623205,2196,2243190
9897942,2312,932072
5549985,2285,1184504
7629074,1870,6365105
4335544,2069,3941204
2003097,2093,3618086
938179,1572,9209778
391963,2114,3343594
213674,2153,2822411
3727937,2247,1601525
7467176,2079,3808370
1557172,2316,898126
3243269,2315,901833
620647,1765,7616734
1273007,2188,2346771
3299155,2526,41564
4960080,1705,8232042
8874644,2012,4645928
2846758,2287,1163315
9361505,1521,9452614
4003691,1255,10119157
7075818,1691,8360896
197620,1916,5806906
5750831,2123,3221588
2769690,1820,6973310
6922652,1889,6131978
4000094,2047,4209955
4953527,1749,7792070
6872224,2376,483333
5013957,1724,8048181
9346430,2011,4652458
10230730,1729,7995058
864296,2107,3442968
10590426,878,10483175
2335595,2049,4185539
5578463,2133,3089876
4166659,1499,9545523
2773712,1652,8682196
5668681,1857,6530347
9429153,1986,4963225
9090146,2031,4417028
3943998,2328,797990
9409472,1890,6113337
7897489,1268,10099305
66136,1886,6173798
5673546,1971,5137515
6327978,2231,1782941
2380072,2426,257765
506347,2133,3092230
4651702,1906,5926123
9045157,2021,4532363
2980421,2134,3077433
8932762,1534,9395649
4453112,2142,2967292
1449394,1276,10088655
3799993,2275,1280605
6909927,2152,2831118
4892684,2347,657925
5362819,1185,10206925
6834414,2138,3019220
5861627,1880,6238230
2691844,2478,116655
717931,1580,9167700
7039040,2079,3804967
4286277,2221,1908271
4665239,2409,325753
1494649,1984,4986810
6442778,2148,2881753
3644996,1783,7415141
4427309,2362,560649
2453982,2122,3241211
8430047,2048,4202489
6225200,1530,9417551
2028858,2066,3979767
4656255,2097,3577056
127351,2440,214361
621475,2149,2877556
9460653,492,10695941
716046,2213,2020515
6825948,1626,8877080
10435789,1708,8204804
1516225,2296,1075633
3025677,2188,2344582
8540636,2041,4289237
6639166,1764,7622461
6059330,1685,8408705
1313265,2298,1054165
10480853,2216,1971204
2846801,1862,6462060
688125,2420,281495
2017744,2262,1427839
3063559,1647,8723206
320444,2347,661027
2283135,2410,319966
2334579,2077,3832478
7866428,2022,4523295
4949958,2056,4102099
722633,2270,1334091
10115043,2072,3900103
1718165,2083,3760875
492023,2606,2803
2249658,1942,5490403
3594733,1903,5960441
5314187,2400,361941
3732621,2433,233859
6071770,2255,1504792
8919641,2197,2223129
7658589,2331,776873
5982781,2189,2328665
6377217,2281,1220633
5207046,2450,183839
8246730,2083,3748896
5876515,1897,6033406
8977351,2011,4660111
2714185,1924,5709817
3532511,2091,3647490
5299293,2397,376725
982223,1991,4904425
682406,2199,2196846
7170057,2558,17075
2689175,2101,3524398
9887395,1990,4915874
6149567,485,10699143
5289498,2187,2350760
4970127,2002,4762007
6690558,1726,8025366
6162969,2187,2357576
8999046,2166,2647731
3048428,1797,7253150
3192139,2194,2263180
1051607,1951,5372535
52968,2493,88058
572581,1713,8158466
7069003,2182,2422109
4578052,2187,2363812
2829544,1849,6618692
2409126,1758,7692098
1066385,2204,2136502
7787695,1356,9950648
9101612,1703,8250746
2035662,2183,2415524
1134132,2345,675099
10761825,1747,7814036
5193153,1786,7381914
297506,2331,773770
8726737,473,10704566
3499239,1743,7854312
4505844,1462,9674259
8275934,280,10771759
4953359,1974,5107225
372903,2341,702498
1062353,2352,629765
2343198,2043,4258304
1885542,2399,368185
1858984,2003,4758614
1363864,2105,3469391
567116,2294,1091037
4434714,2425,262748
4564553,1988,4939065
10656309,1465,9664492
115205,2128,3153970
3312631,2227,1835513
1188744,2071,3916460
685,2458,161487
764650,2438,220807
9551269,361,10747017
768378,2359,580457
300515,2270,1340307
2338262,2163,2686618
2441766,2230,1803700
5937094,2174,2538546
8597227,2344,684104
9357246,879,10481816
140535,1899,6015268
8332007,1910,5871749
1372478,2296,1073925
7658717,2000,4793325
5472204,2504,69727
578415,2213,2015448
2792691,2120,3264927
5153339,2103,3486933
2397889,1896,6048785
7179866,2154,2799446
3299900,2261,1433936
8762519,1817,7010883
4466178,2307,977894
1660317,1924,5708553
1931768,2122,3239969
8526208,1605,9016687
6002243,1973,5109432
1076986,2233,1766925
3441616,2428,250765
6347949,2372,504418
1663168,2191,2304069
4156221,2158,2754578
7709087,2257,1480217
3642235,2006,4717804
2676326,2293,1107261
9373103,1685,8411232
4147768,1968,5172993
5625714,1970,5155180
643214,2239,1695257
1614447,2341,705695
2186076,2316,896732
2560800,2220,1925291
1179417,1993,4872978
6253372,2147,2897266
10685842,2146,2916648
527005,2466,142221
598240,2000,4795278
7494519,1823,6941747
894351,2115,3328794
4455008,2406,335506
5666144,2312,927822
5044876,2131,3116542
1551254,1718,8108144
6337472,2205,2116105
1138183,2223,1894675
602378,2123,3228508
6870135,1998,4816437
5004528,1729,7999579
8889358,2119,3275254
4606193,1929,5646364
8769060,1673,8519502
8588797,2394,391181
6717897,2354,613704
2983911,2049,4188414
4509325,2119,3279282
6751657,2300,1037688
182987,31,10837388
9204358,1856,6534076
8144982,1498,9548065
5887021,1836,6785863
6932226,1629,8858600
1323769,2211,2037654
4608198,838,10509195
2972443,2009,4678195
319910,2008,4694981
3816406,1183,10208974
6126591,1973,5113022
7130281,2170,2593349
1572520,1921,5746602
4295429,2379,464730
2485439,2222,1901237
8250429,2200,2181384
6210164,2090,3658427
863486,2234,1751494
5282678,2168,2607186
1034984,1627,8869351
2137668,2273,1309293
1936578,1156,10239603
1946668,2100,3537766
2109307,1715,8130909
6096481,2329,789181
4944397,1778,7473342
9582682,1864,6437934
10394522,1554,9304615
3447903,1834,6806380
4734853,1787,7369948
619524,2112,3369941
2732925,2152,2826025
7668888,2250,1564400
9077195,2216,1972104
734842,2481,110670
7370293,2317,885681
9113113,1597,9067330
2361919,1770,7562422
1836596,2191,2299259
53211,2469,134491
4519315,2013,4631613
4293435,2316,895108
8132668,1708,8206484
2889013,2216,1973475
3366815,2274,1299008
26372,2359,583620
6821092,2091,3654319
2025310,2311,941436
4552838,2382,451471
4020423,1755,7724148
119810,2440,213796
10696999,2509,62141
4933979,1922,5727064
6957461,2414,304207
1436629,2012,4645928
6906035,2234,1754865
3229077,2057,4089714
3322847,2096,3580859
6231361,1883,6209770
434583,2263,1414095
8647682,2130,3125831
6900975,2064,3995213
4530504,2077,3828045
1017124,2385,433580
2230003,2230,1797135
66364,294,10768033
1013754,1721,8080242
3249434,2077,3836513
1818923,2163,2683638
1407104,2202,2161679
2341322,1718,8111169
8865882,2143,2953655
4475171,2012,4649335
760888,2317,884408
2869397,944,10434394
117774,2392,401998
8484043,2112,3373638
7977767,2167,2629972
11179,2503,71686
6743664,1778,7473714
8742269,2167,2625809
8174449,2020,4552947
1470251,1994,4867161
4804879,2430,244097
7058757,2149,2865843
1245410,1923,5715944
5490813,2281,1223297
6302955,2342,696857
3688865,2306,987057
2672560,1338,9983748
3759794,2041,4287186
3386275,2412,312772
9089268,2113,3358114
7527441,1841,6715668
868960,2002,4768459
4472836,2107,3440014
1593109,2526,42086
8806695,1690,8371383
3792198,2121,3256942
5726784,489,10697311
6443501,1641,8765696
8700209,2018,4577113
4346381,1761,7655923
3426657,2034,4381107
2596514,2236,1727139
2658048,2044,4253203
6558280,1998,4816053
410592,1723,8061272
763504,2182,2418097
3217311,2147,2894979
3912593,2173,2547016
6002233,2108,3423648
7707965,1946,5437244
9329687,1908,5900369
8093511,2215,1988967
3795649,2304,998230
9163856,1752,7761395
7552448,1411,9825036
7559775,1814,7051407
1255201,2355,608799
5840238,2121,3253981
5691321,2515,54997
1440302,2185,2381025
2698200,2100,3534525
5003759,1417,9809855
3262985,1627,8869351
272865,2254,1518223
5934468,1996,4841668
4074530,1755,7729103
2776761,2242,1657927
604988,1860,6485501
847173,1916,5803630
6264238,2271,1327861
1322984,2249,1574429
1205126,1965,5215128
9353311,2008,4689993
1562871,1702,8257923
3279721,2030,4418590
6416445,2268,1356747
8836033,2096,3579081
5764554,2222,1902914
5353577,1775,7506125
1953713,2461,154717
5560488,2098,3559894
2519215,2020,4547767
5142071,2307,978300
1785689,2194,2264137
